"Status","Date and Time","Response Time (ms)","Error","Location"
"unconfirmed_down","10/02/2014 10:24:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 10:19:51AM","1,323 ms","OK","Charlotte (NC)"
"up","10/02/2014 10:14:51AM","395 ms","OK","Philadelphia (PA)"
"up","10/02/2014 10:09:51AM","1,186 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 10:04:51AM","453 ms","OK","Las Vegas 3 (NV)"
"down","10/02/2014 09:59:51AM","","Network error","Amsterdam 3 (Netherlands)"
"down","10/02/2014 09:55:28AM","","Network error","Vienna (Austria)"
"unconfirmed_down","10/02/2014 09:54:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 09:49:51AM","355 ms","OK","New York (NY)"
"up","10/02/2014 09:44:52AM","650 ms","OK","Seattle (WA)"
"up","10/02/2014 09:40:17AM","378 ms","OK","Philadelphia (PA)"
"unconfirmed_down","10/02/2014 09:39:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 09:34:51AM","438 ms","OK","Charlotte (NC)"
"up","10/02/2014 09:29:51AM","1,207 ms","OK","Philadelphia (PA)"
"up","10/02/2014 09:24:51AM","366 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 09:19:51AM","541 ms","OK","Las Vegas 3 (NV)"
"down","10/02/2014 09:14:51AM","","Network error","Amsterdam 3 (Netherlands)"
"down","10/02/2014 09:10:25AM","","Network error","Amsterdam 3 (Netherlands)"
"unconfirmed_down","10/02/2014 09:09:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 09:04:51AM","334 ms","OK","New York (NY)"
"up","10/02/2014 08:59:51AM","480 ms","OK","Seattle (WA)"
"up","10/02/2014 08:55:22AM","372 ms","OK","Toronto 4 (Canada)"
"unconfirmed_down","10/02/2014 08:54:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 08:49:51AM","841 ms","OK","Charlotte (NC)"
"up","10/02/2014 08:44:51AM","409 ms","OK","Philadelphia (PA)"
"up","10/02/2014 08:39:51AM","1,178 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 08:34:51AM","508 ms","OK","Las Vegas 3 (NV)"
"down","10/02/2014 08:29:51AM","","Network error","Amsterdam 3 (Netherlands)"
"down","10/02/2014 08:25:25AM","","Network error","Vienna (Austria)"
"unconfirmed_down","10/02/2014 08:24:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 08:19:51AM","315 ms","OK","New York (NY)"
"up","10/02/2014 08:14:51AM","703 ms","OK","Seattle (WA)"
"up","10/02/2014 08:10:18AM","456 ms","OK","Charlotte (NC)"
